V1,V2,V3,V4,V4,V5,class
0.445238462,0.505075484,-0.820383398,0.995991373,Yes,0.032069017,1
0.498503907,0.439430528,-0.542830517,0.931169794,No,0.55064165,1
0.510062189,0.439430528,-0.542830517,0.931169794,Yes,0.55064165,1
0.239149082,0.463595125,-0.744533353,0.997583871,No,0.019329032,1
0.348373652,0.464238137,-0.599760131,0.951382507,Yes,0.388939941,1
0.293408856,0.479614378,-0.815642677,0.996961806,No,0.024305556,1
0.31843841,0.685886783,-0.518844163,0.992056844,Yes,0.063545246,1
0.250385804,0.543856946,-0.640525879,0.964617486,No,0.283060109,1
0.278367857,0.475202729,-0.643369121,0.953512588,Yes,0.371899297,1
0.23973924,0.495906065,-0.457082447,0.933654455,Yes,0.530764358,1
0.349811423,0.461488492,-0.744213391,0.995633272,Yes,0.034933826,1
0.355082542,0.472381607,-0.772054516,0.997145159,Yes,0.022838728,1
0.308522747,0.530844148,-0.47175027,0.92517934,Yes,0.59856528,1
0.506450732,0.427812774,-0.49471876,0.934834906,Yes,0.521320755,1
0.328980222,0.53848353,-0.805441275,0.99551193,Yes,0.035904557,1
0.362057921,0.53157756,-0.731976336,0.974290838,Yes,0.205673299,1
0.241598336,0.591647038,-0.650372512,0.968124995,Yes,0.255000043,1
0.245041561,0.463517242,-0.545612539,0.936940068,Yes,0.504479456,1
0.290019424,0.4241469,-0.55242566,0.943511746,Yes,0.451906028,1
0.367773816,0.467556536,-0.623544685,0.94983928,Yes,0.401285758,1
0.345508288,0.41888307,-0.472774128,0.932709212,No,0.538326301,1
0.45861926,0.452447378,-0.451240234,0.921502101,Yes,0.627983192,1
0.366795185,0.568598778,-0.82030234,0.996330107,No,0.029359141,1
0.403943754,0.57983162,-0.593824077,0.960308551,Yes,0.317531589,1
0.494483766,0.849506928,-0.407019204,0.994817374,No,0.041461007,1
0.557421022,0.452763423,-0.565749543,0.93947586,Yes,0.484193122,1
0.547494088,0.497361854,-0.670945564,0.961914063,No,0.3046875,1
0.543058641,0.497361854,-0.670945564,0.961914063,Yes,0.3046875,1
0.285973369,0.557568426,-0.578052432,0.960113792,No,0.319089661,1
0.260907317,0.463036422,-0.69573454,0.965606332,Yes,0.275149343,1
0.296818397,0.433939685,-0.622040094,0.95035061,No,0.397195122,1
0.33846935,0.50130249,-0.803863099,0.980916593,Yes,0.152667256,1
0.509430868,0.432220527,-0.510348275,0.944338874,No,0.445289011,1
0.354475411,0.489623946,-0.55582125,0.950802858,Yes,0.393577133,1
0.301366005,0.415673497,-0.532506361,0.938830856,No,0.489353154,1
0.288804346,0.434403844,-0.620286804,0.948637134,Yes,0.41090293,1
0.396593734,0.435915674,-0.624329815,0.9485945,No,0.411243999,1
0.427264384,0.550859572,-0.574583152,0.950740132,Yes,0.394078947,1
0.266860223,0.500311171,-0.788208891,0.977142879,No,0.182856965,1
0.554362812,0.461081225,-0.715514866,0.96538083,Yes,0.276953362,1
0.478979725,0.463381981,-0.737984392,0.967035916,No,0.263712668,1
0.32851063,0.789196393,-0.22438994,0.994894145,Yes,0.040846836,1
0.347119649,0.448015948,-0.450351547,0.912205387,No,0.702356902,1
0.327363069,0.59594032,-0.679372611,0.995774215,Yes,0.033806281,1
0.308949247,0.494193454,-0.743275911,0.992203539,No,0.062371684,1
0.227071772,0.462370722,-0.752913599,0.99744132,Yes,0.020469439,1
0.250084327,0.646738351,-0.608555096,0.997691505,No,0.018467957,1
0.266535585,0.554631216,-0.625877749,0.969003589,Yes,0.247971286,1
0.342800501,0.511126109,-0.580899032,0.957424961,No,0.340600316,1
0.43909823,0.438440615,-0.517539347,0.941525073,Yes,0.467799418,1
0.475113914,0.444963765,-0.66523679,0.95978819,No,0.32169448,1
0.369829473,0.429468914,-0.601411227,0.950611111,Yes,0.395111111,1
0.264723663,0.515600073,-0.872949133,0.986060049,No,0.111519608,1
0.349002204,0.539686025,-0.825877276,0.985378689,Yes,0.116970486,1
0.421224595,0.476259429,-0.80449803,0.984957159,No,0.120342731,1
0.529807183,0.474638559,-0.825232879,0.97545582,Yes,0.196353436,1
0.320390267,0.517055886,-0.805198645,0.982839912,No,0.137280702,1
