Date,Province,Daily_Case,Daily_Death,Daily_Recovered,Active_Case,Cumulative_Case,Cumulative_Recovered,Cumulative_Death,Cumulative_Active_Case
01/03/2020,DKI JAKARTA,2,0,0,2,2,0,0,2
02/03/2020,DKI JAKARTA,2,0,0,2,4,0,0,4
03/03/2020,DKI JAKARTA,2,0,0,2,6,0,0,6
04/03/2020,DKI JAKARTA,2,0,0,2,8,0,0,8
05/03/2020,DKI JAKARTA,0,1,0,-1,8,0,1,7
06/03/2020,DKI JAKARTA,0,0,0,0,8,0,1,7
07/03/2020,DKI JAKARTA,0,2,0,-2,8,0,3,5
08/03/2020,DKI JAKARTA,0,0,0,0,8,0,3,5
09/03/2020,DKI JAKARTA,0,1,0,-1,8,0,4,4
10/03/2020,DKI JAKARTA,0,0,0,0,8,0,4,4
11/03/2020,DKI JAKARTA,0,0,0,0,8,0,4,4
12/03/2020,DKI JAKARTA,0,1,4,-5,8,4,5,-1
13/03/2020,DKI JAKARTA,0,1,3,-4,8,7,6,-5
14/03/2020,DKI JAKARTA,1,1,1,-1,9,8,7,-6
15/03/2020,DKI JAKARTA,6,3,0,3,15,8,10,-3
16/03/2020,DKI JAKARTA,0,3,0,-3,15,8,13,-6
17/03/2020,DKI JAKARTA,1,1,0,0,16,8,14,-6
18/03/2020,DKI JAKARTA,0,1,0,-1,16,8,15,-7
19/03/2020,DKI JAKARTA,1,0,1,0,17,9,15,-7
20/03/2020,DKI JAKARTA,1,3,1,-3,18,10,18,-10
21/03/2020,DKI JAKARTA,0,3,6,-9,18,16,21,-19
22/03/2020,DKI JAKARTA,0,0,3,-3,18,19,21,-22
23/03/2020,DKI JAKARTA,0,0,0,0,18,19,21,-22
24/03/2020,DKI JAKARTA,0,19,3,-22,18,22,40,-44
25/03/2020,DKI JAKARTA,0,1,0,-1,18,22,41,-45
26/03/2020,DKI JAKARTA,56,2,0,54,74,22,43,9
27/03/2020,DKI JAKARTA,68,7,6,55,142,28,50,64
28/03/2020,DKI JAKARTA,41,9,9,23,183,37,59,87
29/03/2020,DKI JAKARTA,49,10,0,39,232,37,69,126
30/03/2020,DKI JAKARTA,31,7,0,24,263,37,76,150
31/03/2020,DKI JAKARTA,42,10,0,32,305,37,86,182
01/04/2020,DKI JAKARTA,59,1,0,58,364,37,87,240
02/04/2020,DKI JAKARTA,69,5,2,62,433,39,92,302
03/04/2020,DKI JAKARTA,70,6,2,62,503,41,98,364
04/04/2020,DKI JAKARTA,55,8,5,42,558,46,106,406
05/04/2020,DKI JAKARTA,85,11,2,72,643,48,117,478
06/04/2020,DKI JAKARTA,98,7,7,84,741,55,124,562
07/04/2020,DKI JAKARTA,110,14,3,93,851,58,138,655
08/04/2020,DKI JAKARTA,86,8,5,73,937,63,146,728
09/04/2020,DKI JAKARTA,226,34,5,187,1163,68,180,915
10/04/2020,DKI JAKARTA,49,11,4,34,1212,72,191,949
11/04/2020,DKI JAKARTA,185,10,7,168,1397,79,201,1117
12/04/2020,DKI JAKARTA,122,33,37,52,1519,116,234,1169
13/04/2020,DKI JAKARTA,134,7,1,126,1653,117,241,1295
14/04/2020,DKI JAKARTA,122,10,0,112,1775,117,251,1407
15/04/2020,DKI JAKARTA,128,9,20,99,1903,137,260,1506
16/04/2020,DKI JAKARTA,174,1,0,173,2077,137,261,1679
17/04/2020,DKI JAKARTA,139,7,35,97,2216,172,268,1776
18/04/2020,DKI JAKARTA,100,7,1,92,2316,173,275,1868
19/04/2020,DKI JAKARTA,98,3,25,70,2414,198,278,1938
20/04/2020,DKI JAKARTA,70,5,7,58,2484,205,283,1996
21/04/2020,DKI JAKARTA,149,2,59,88,2633,264,285,2084
22/04/2020,DKI JAKARTA,108,1,8,99,2741,272,286,2183
23/04/2020,DKI JAKARTA,122,0,4,118,2863,276,286,2301
24/04/2020,DKI JAKARTA,78,0,1,77,2941,277,286,2378
25/04/2020,DKI JAKARTA,78,19,7,52,3019,284,305,2430
26/04/2020,DKI JAKARTA,104,7,1,96,3123,285,312,2526
27/04/2020,DKI JAKARTA,65,13,1,51,3188,286,325,2577
28/04/2020,DKI JAKARTA,124,4,22,98,3312,308,329,2675
29/04/2020,DKI JAKARTA,86,0,75,11,3398,383,329,2686
30/04/2020,DKI JAKARTA,83,0,46,37,3481,429,329,2723
01/05/2020,DKI JAKARTA,135,4,2,129,3616,431,333,2852
02/05/2020,DKI JAKARTA,70,17,24,29,3686,455,350,2881
03/05/2020,DKI JAKARTA,58,5,112,-59,3744,567,355,2822
04/05/2020,DKI JAKARTA,72,8,3,61,3816,570,363,2883
05/05/2020,DKI JAKARTA,131,1,66,64,3947,636,364,2947
06/05/2020,DKI JAKARTA,103,5,37,61,4050,673,369,3008
07/05/2020,DKI JAKARTA,82,8,4,70,4132,677,377,3078
08/05/2020,DKI JAKARTA,96,1,0,95,4228,677,378,3173
09/05/2020,DKI JAKARTA,98,3,5,90,4326,682,381,3263
10/05/2020,DKI JAKARTA,124,6,49,69,4450,731,387,3332
11/05/2020,DKI JAKARTA,80,6,9,65,4530,740,393,3397
12/05/2020,DKI JAKARTA,94,2,108,-16,4624,848,395,3381
13/05/2020,DKI JAKARTA,178,6,96,76,4802,944,401,3457
14/05/2020,DKI JAKARTA,130,2,134,-6,4932,1078,403,3451
15/05/2020,DKI JAKARTA,82,7,106,-31,5014,1184,410,3420
16/05/2020,DKI JAKARTA,100,0,18,82,5114,1202,410,3502
17/05/2020,DKI JAKARTA,127,3,11,113,5241,1213,413,3615
18/05/2020,DKI JAKARTA,79,0,0,79,5320,1213,413,3694
19/05/2020,DKI JAKARTA,93,7,21,65,5413,1234,420,3759
20/05/2020,DKI JAKARTA,84,1,3,80,5497,1237,421,3839
21/05/2020,DKI JAKARTA,69,8,130,-69,5566,1367,429,3770
22/05/2020,DKI JAKARTA,103,29,55,19,5669,1422,458,3789
23/05/2020,DKI JAKARTA,111,1,54,56,5780,1476,459,3845
24/05/2020,DKI JAKARTA,112,0,20,92,5892,1496,459,3937
25/05/2020,DKI JAKARTA,75,0,65,10,5967,1561,459,3947
26/05/2020,DKI JAKARTA,87,0,13,74,6054,1574,459,4021
27/05/2020,DKI JAKARTA,108,8,16,84,6162,1590,467,4105
28/05/2020,DKI JAKARTA,100,0,20,80,6262,1610,467,4185
29/05/2020,DKI JAKARTA,124,0,38,86,6386,1648,467,4271
30/05/2020,DKI JAKARTA,103,7,255,-159,6489,1903,474,4112
31/05/2020,DKI JAKARTA,112,1,70,41,6601,1973,475,4153
01/06/2020,DKI JAKARTA,153,2,185,-34,6754,2158,477,4119
02/06/2020,DKI JAKARTA,59,0,120,-61,6813,2278,477,4058
03/06/2020,DKI JAKARTA,88,5,181,-98,6901,2459,482,3960
04/06/2020,DKI JAKARTA,107,0,21,86,7008,2480,482,4046
05/06/2020,DKI JAKARTA,70,1,138,-69,7078,2618,483,3977
06/06/2020,DKI JAKARTA,113,0,86,27,7191,2704,483,4004
07/06/2020,DKI JAKARTA,164,4,287,-127,7355,2991,487,3877
08/06/2020,DKI JAKARTA,88,0,75,13,7443,3066,487,3890
