pm10,so2,co,o3,no2,categori
64,20,22,62,18,0
61,20,22,63,20,0
62,20,20,63,19,0
57,19,16,65,17,0
54,21,20,90,18,0
55,20,22,51,13,0
63,22,24,73,21,0
66,20,21,66,14,0
73,21,24,43,14,0
57,19,13,40,9,0
55,19,17,37,10,0
57,19,17,32,10,0
52,18,19,45,18,0
59,18,21,52,17,0
66,17,26,81,19,0
62,16,22,76,14,0
69,18,24,115,19,2
62,20,23,74,18,0
56,23,19,36,10,0
52,20,18,30,14,0
61,17,29,53,18,0
55,19,22,65,19,0
52,17,14,73,12,0
57,18,22,89,16,0
56,17,24,51,22,0
58,15,24,53,17,0
61,16,26,53,14,0
56,19,20,58,12,0
68,19,16,50,10,0
71,9,9,102,10,2
76,9,9,84,11,0
77,12,8,80,10,0
71,9,6,65,5,0
66,9,8,114,13,2
79,10,12,64,14,0
98,10,10,96,12,0
74,8,9,91,9,0
82,10,14,59,11,0
68,9,7,56,6,0
71,9,8,55,8,0
70,8,7,54,7,0
67,10,5,65,6,0
72,8,6,71,6,0
74,7,10,88,9,0
71,7,7,88,6,0
66,7,5,52,4,0
71,8,12,153,9,2
75,8,10,103,11,2
70,8,6,50,10,0
70,9,6,61,7,0
77,9,14,74,10,0
77,9,6,71,8,0
69,7,22,68,9,0
72,9,11,63,8,0
76,8,19,60,12,0
61,12,17,86,14,0
62,13,18,90,11,0
70,13,20,86,9,0
61,12,18,80,8,0
62,13,14,140,12,2
61,14,17,127,10,2
63,14,22,125,13,2
60,12,18,119,18,2
64,13,24,100,18,0
64,13,21,72,8,0
62,13,17,73,9,0
63,12,21,57,9,0
58,13,19,64,7,0
64,13,22,97,9,0
86,13,48,86,11,0
64,12,22,119,12,2
69,12,25,101,8,2
61,13,25,178,10,2
59,13,18,160,8,2
64,13,20,76,11,0
56,13,20,86,7,0
59,11,25,125,9,2
62,14,20,127,8,2
51,13,17,127,10,2
59,12,17,125,8,2
62,12,18,94,16,0
63,11,28,89,10,0
53,12,28,82,12,0
58,13,22,75,9,0
67,13,30,78,15,0
58,27,10,70,6,0
67,28,10,81,8,0
66,28,10,80,7,0
67,27,8,61,8,0
57,29,8,118,9,2
72,28,11,74,11,0
65,29,12,71,8,0
69,29,20,76,9,0
59,27,9,58,6,0
59,27,9,57,9,0
66,29,10,53,8,0
55,28,7,62,6,0
69,28,9,102,6,2
88,28,20,99,11,0
56,27,6,86,6,0
65,27,11,71,5,0
65,31,10,139,13,2
68,30,10,53,8,0
81,28,19,97,10,0
67,28,11,103,6,2
56,29,11,110,5,2
67,30,10,123,5,2
63,29,9,80,7,0
69,27,12,90,10,0
76,28,22,80,8,0
63,30,11,62,7,0
66,29,23,65,8,0
57,20,13,115,6,2
61,20,14,96,7,0
66,22,16,92,8,0
62,21,14,71,10,0
54,20,11,92,7,0
62,20,14,77,10,0
67,22,16,146,9,2
60,22,13,102,8,2
69,21,17,80,10,0
64,21,14,61,6,0
60,21,14,60,8,0
60,21,13,51,9,0
55,20,11,69,6,0
61,20,14,84,8,0
92,20,28,207,14,3
71,19,15,174,9,2
63,19,13,108,6,2
68,20,17,178,8,2
65,23,12,171,7,2
56,23,11,64,10,0
56,21,12,88,8,0
69,19,15,201,9,3
64,21,12,171,7,2
66,21,11,128,6,2
66,20,11,184,6,2
66,35,12,149,9,2
61,25,10,108,9,2
64,18,18,132,10,2
67,20,13,96,8,0
51,9,31,76,20,0
49,6,49,54,15,0
51,7,44,46,18,0
50,5,30,43,17,1
45,8,25,24,18,1
45,7,27,72,14,0
61,10,41,87,13,0
47,7,24,84,17,0
46,14,27,70,18,0
57,16,32,81,27,0
52,11,23,52,17,0
31,7,19,44,9,1
32,5,24,37,10,1
35,7,17,70,14,0
42,6,25,44,23,1
45,6,29,94,16,0
50,7,37,49,16,1
51,5,19,60,16,0
37,4,21,20,9,1
21,6,16,47,20,1
43,9,16,31,16,1
40,9,17,28,9,1
50,16,18,27,10,1
42,10,20,16,15,1
65,13,36,60,12,0
33,7,22,67,22,0
44,8,31,32,11,1
49,6,42,38,11,1
53,8,35,48,19,0
42,4,29,48,21,1
68,21,31,96,13,0
62,12,26,86,15,0
59,15,31,74,15,0
59,18,18,61,10,0
59,19,15,47,12,0
54,9,10,71,23,0
68,9,21,87,11,0
57,10,11,98,17,0
72,12,13,85,11,0
76,19,23,103,18,2
69,17,11,90,17,0
43,9,10,78,8,0
32,9,7,62,9,0
44,13,9,99,12,0
54,13,12,88,9,0
62,16,17,103,14,2
69,20,18,68,11,0
61,13,11,96,7,0
49,18,8,41,7,1
24,11,7,66,5,0
51,8,7,69,5,0
60,11,6,48,6,0
61,11,7,49,9,0
42,7,7,34,7,1
67,18,22,53,11,0
42,8,12,79,11,0
55,14,14,53,9,0
65,12,26,42,11,0
53,12,18,46,12,0
59,16,8,48,9,0
72,9,41,85,13,0
69,11,44,75,12,0
61,11,19,102,8,2
52,11,15,81,9,0
71,10,28,99,14,0
72,12,28,152,11,2
50,11,15,144,10,2
51,12,17,127,10,2
64,13,27,199,13,2
62,12,15,153,8,2
55,10,14,41,10,0
55,10,15,44,6,0
38,11,9,112,7,2
54,11,19,122,10,2
51,11,18,68,11,0
70,10,21,111,7,2
31,10,13,105,6,2
60,10,27,110,8,2
59,10,20,63,9,0
59,11,12,73,8,0
52,10,11,72,7,0
58,9,40,85,11,0
38,10,11,124,6,2
45,10,25,90,9,0
55,10,37,73,11,0
49,10,24,130,11,2
49,10,14,111,17,2
59,21,37,93,10,0
58,21,34,76,12,0
59,21,31,56,9,0
58,21,23,71,8,0
57,25,12,49,11,0
82,25,31,118,19,2
54,22,20,125,8,2
50,22,38,46,8,1
44,21,42,55,9,0
45,22,37,91,9,0
64,22,39,83,10,0
62,22,43,109,11,2
60,22,27,80,9,0
73,21,16,66,8,0
60,22,13,31,5,0
58,22,12,49,4,0
41,22,12,30,6,1
59,22,22,60,9,0
34,21,12,98,7,0
48,21,14,45,8,1
59,22,22,45,8,0
61,14,26,167,15,2
57,13,35,101,13,2
62,15,42,146,14,2
59,14,16,172,10,2
51,14,18,83,11,0
74,11,38,195,9,2
66,15,35,243,10,3
53,13,18,235,10,3
53,14,16,113,9,2
65,15,19,162,7,2
59,23,13,101,9,2
46,13,17,57,6,0
46,14,16,62,8,0
37,14,18,85,12,0
55,14,24,92,11,0
56,16,26,119,11,2
59,14,39,76,14,0
61,13,26,92,8,0
41,13,19,42,8,1
24,13,15,85,7,0
53,15,27,47,8,0
48,15,24,54,7,0
50,22,15,46,10,1
57,17,16,46,8,0
59,14,45,79,11,0
37,11,18,115,9,2
50,11,38,82,9,0
58,12,46,78,9,0
47,12,28,102,9,2
39,13,21,93,11,0
38,6,12,67,10,0
32,4,6,33,7,1
30,5,4,33,5,1
42,6,8,47,7,1
50,4,6,63,8,0
45,4,8,37,9,1
26,3,11,35,9,1
26,5,5,31,7,1
36,3,5,27,10,1
50,2,7,71,10,0
48,2,6,88,6,0
65,3,14,86,13,0
40,2,8,46,9,1
48,4,8,51,10,0
40,2,8,46,11,1
34,3,7,41,9,1
43,2,8,54,9,0
43,4,5,72,7,0
59,5,7,87,9,0
74,14,6,47,11,0
45,5,5,43,7,1
43,4,3,27,8,1
46,3,7,45,8,1
57,3,5,45,8,0
36,1,4,71,8,0
49,2,7,45,13,1
53,4,6,52,11,0
61,5,6,33,14,0
43,12,14,90,5,0
34,9,5,57,2,0
32,10,7,62,2,0
48,13,11,83,3,0
56,12,9,82,2,0
48,9,11,55,3,0
35,9,14,47,3,1
28,9,5,55,2,0
56,4,10,44,10,0
53,4,11,86,12,0
53,7,9,124,4,2
47,1,8,68,10,0
48,3,10,52,7,0
52,7,12,52,13,0
54,8,14,68,11,0
45,9,11,91,9,0
66,6,15,97,7,0
64,3,9,76,7,0
58,7,11,57,7,0
77,8,17,53,9,0
53,21,7,51,7,0
56,16,7,47,7,0
58,26,17,51,9,0
62,25,12,55,4,0
43,18,9,84,4,0
53,16,13,72,7,0
61,25,14,64,8,0
64,21,23,49,9,0
51,18,35,62,7,0
55,19,22,44,6,0
54,17,22,35,3,0
59,19,25,65,7,0
51,19,19,81,3,0
52,17,29,33,6,0
40,17,23,24,4,1
26,18,13,40,3,1
50,17,19,53,6,0
53,17,26,72,8,0
45,18,18,64,4,0
60,17,31,71,4,0
48,17,17,67,5,0
40,17,22,73,6,0
39,19,19,65,6,0
37,18,17,55,5,0
51,17,19,92,5,0
36,18,15,66,4,0
56,19,20,85,8,0
62,18,20,89,9,0
50,19,17,53,7,0
58,19,26,75,8,0
51,17,17,60,5,0
39,18,22,40,6,1
46,19,29,55,5,0
62,18,23,71,5,0
38,18,18,53,3,0
38,19,22,79,5,0
45,18,19,70,7,0
65,19,37,77,10,0
42,25,11,90,8,0
51,25,10,36,6,0
55,27,14,48,6,0
66,28,22,63,7,0
66,28,14,83,8,0
56,26,18,60,8,0
42,25,17,28,9,1
33,26,10,58,7,0
59,28,13,57,8,0
65,27,19,107,8,2
109,27,13,87,5,2
82,27,24,89,10,0
52,26,13,64,7,0
54,28,13,61,9,0
57,27,15,72,9,0
60,27,16,66,8,0
60,27,19,75,8,0
52,28,12,82,6,0
73,29,17,86,10,0
78,28,13,73,6,0
69,28,14,57,7,0
111,31,25,58,10,2
66,27,13,51,7,0
64,26,25,53,9,0
59,20,14,60,9,0
80,22,26,44,9,0
38,7,17,129,5,2
34,7,7,49,6,1
34,8,6,46,3,1
52,15,9,62,4,0
45,8,18,73,6,0
53,11,12,100,10,0
62,10,15,147,14,2
68,19,18,67,10,0
43,5,11,88,9,0
34,7,5,70,7,0
49,7,15,77,8,0
61,8,16,101,10,2
34,6,6,131,8,2
46,6,14,82,9,0
51,8,16,85,10,0
69,7,36,76,17,0
53,20,17,81,14,0
62,23,20,64,14,0
57,26,17,45,9,0
56,23,15,41,13,0
54,19,19,40,11,0
42,23,14,31,10,1
51,21,22,57,10,0
53,22,18,69,19,0
55,21,18,52,12,0
63,32,22,59,13,0
53,23,15,48,13,0
41,23,9,69,11,0
61,26,20,56,18,0
56,25,16,38,12,0
54,22,22,54,17,0
54,24,17,46,13,0
59,24,19,46,16,0
57,22,28,49,14,0
54,23,20,73,14,0
55,23,23,64,11,0
51,20,11,43,9,0
54,23,19,52,9,0
52,28,21,41,11,0
52,22,28,47,9,0
41,22,14,29,9,1
63,10,27,56,10,0
50,7,12,84,7,0
68,8,20,75,16,0
57,8,15,52,13,0
55,8,14,55,9,0
56,7,20,47,10,0
48,8,13,45,9,1
52,7,18,52,8,0
71,11,24,79,10,0
62,7,19,73,10,0
74,10,22,142,12,2
74,10,28,67,13,0
66,9,16,80,12,0
63,10,19,68,10,0
56,9,19,78,9,0
76,10,19,60,11,0
62,9,15,60,12,0
58,8,24,90,10,0
60,9,19,74,14,0
72,10,20,73,10,0
72,14,27,59,15,0
53,7,16,51,13,0
60,10,27,77,18,0
68,11,23,55,10,0
53,7,9,54,6,0
53,7,22,68,12,0
53,8,25,62,10,0
64,10,25,40,11,0
59,9,21,54,7,0
66,8,28,89,8,0
