tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2019-04-01,DKI1 (Bunderan HI),51,9,31,76,20,76,O3,SEDANG
2019-04-02,DKI1 (Bunderan HI),49,6,49,54,15,54,O3,SEDANG
2019-04-03,DKI1 (Bunderan HI),51,7,44,46,18,51,PM10,SEDANG
2019-04-04,DKI1 (Bunderan HI),50,5,30,43,17,50,PM10,BAIK
2019-04-05,DKI1 (Bunderan HI),45,8,25,24,18,45,PM10,BAIK
2019-04-06,DKI1 (Bunderan HI),45,7,27,72,14,72,O3,SEDANG
2019-04-07,DKI1 (Bunderan HI),61,10,41,87,13,87,O3,SEDANG
2019-04-08,DKI1 (Bunderan HI),47,7,24,84,17,84,O3,SEDANG
2019-04-09,DKI1 (Bunderan HI),46,14,27,70,18,70,O3,SEDANG
2019-04-10,DKI1 (Bunderan HI),57,16,32,81,27,81,O3,SEDANG
2019-04-11,DKI1 (Bunderan HI),52,11,23,52,17,52,PM10,SEDANG
2019-04-12,DKI1 (Bunderan HI),31,7,19,44,9,44,O3,BAIK
2019-04-13,DKI1 (Bunderan HI),32,5,24,37,10,37,O3,BAIK
2019-04-14,DKI1 (Bunderan HI),35,7,17,70,14,70,O3,SEDANG
2019-04-15,DKI1 (Bunderan HI),42,6,25,44,23,44,O3,BAIK
2019-04-16,DKI1 (Bunderan HI),45,6,29,94,16,94,O3,SEDANG
2019-04-17,DKI1 (Bunderan HI),50,7,37,49,16,50,PM10,BAIK
2019-04-18,DKI1 (Bunderan HI),51,5,19,60,16,60,O3,SEDANG
2019-04-19,DKI1 (Bunderan HI),37,4,21,20,9,37,PM10,BAIK
2019-04-20,DKI1 (Bunderan HI),21,6,16,47,20,47,O3,BAIK
2019-04-21,DKI1 (Bunderan HI),43,9,16,31,16,43,PM10,BAIK
2019-04-22,DKI1 (Bunderan HI),40,9,17,28,9,40,PM10,BAIK
2019-04-23,DKI1 (Bunderan HI),50,16,18,27,10,50,PM10,BAIK
2019-04-24,DKI1 (Bunderan HI),42,10,20,16,15,42,PM10,BAIK
2019-04-25,DKI1 (Bunderan HI),65,13,36,60,12,65,PM10,SEDANG
2019-04-26,DKI1 (Bunderan HI),33,7,22,67,22,67,O3,SEDANG
2019-04-27,DKI1 (Bunderan HI),44,8,31,32,11,44,PM10,BAIK
2019-04-28,DKI1 (Bunderan HI),49,6,42,38,11,49,PM10,BAIK
2019-04-29,DKI1 (Bunderan HI),53,8,35,48,19,53,PM10,SEDANG
2019-04-30,DKI1 (Bunderan HI),42,4,29,48,21,48,O3,BAIK
2019-04-01,DKI2 (Kelapa Gading),68,21,31,96,13,96,O3,SEDANG
2019-04-02,DKI2 (Kelapa Gading),62,12,26,86,15,86,O3,SEDANG
2019-04-03,DKI2 (Kelapa Gading),59,15,31,74,15,74,O3,SEDANG
2019-04-04,DKI2 (Kelapa Gading),59,18,18,61,10,61,O3,SEDANG
2019-04-05,DKI2 (Kelapa Gading),59,19,15,47,12,59,PM10,SEDANG
2019-04-06,DKI2 (Kelapa Gading),54,9,10,71,23,71,O3,SEDANG
2019-04-07,DKI2 (Kelapa Gading),68,9,21,87,11,87,O3,SEDANG
2019-04-08,DKI2 (Kelapa Gading),57,10,11,98,17,98,O3,SEDANG
2019-04-09,DKI2 (Kelapa Gading),72,12,13,85,11,85,O3,SEDANG
