tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2019-12-01,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2019-12-02,DKI1 (Bunderan HI),53,20,17,81,14,81,O3,SEDANG
2019-12-03,DKI1 (Bunderan HI),62,23,20,64,14,64,O3,SEDANG
2019-12-04,DKI1 (Bunderan HI),57,26,17,45,9,57,PM10,SEDANG
2019-12-05,DKI1 (Bunderan HI),56,23,15,41,13,56,PM10,SEDANG
2019-12-06,DKI1 (Bunderan HI),54,19,19,40,11,54,PM10,SEDANG
2019-12-07,DKI1 (Bunderan HI),42,23,14,31,10,42,PM10,BAIK
2019-12-08,DKI1 (Bunderan HI),51,21,22,57,10,57,O3,SEDANG
2019-12-09,DKI1 (Bunderan HI),53,22,18,69,19,69,O3,SEDANG
2019-12-10,DKI1 (Bunderan HI),55,21,18,52,12,55,PM10,SEDANG
2019-12-11,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2019-12-12,DKI1 (Bunderan HI),---,22,---,46,14,46,O3,BAIK
2019-12-13,DKI1 (Bunderan HI),63,32,22,59,13,63,PM10,SEDANG
2019-12-14,DKI1 (Bunderan HI),53,23,15,48,13,53,PM10,SEDANG
2019-12-15,DKI1 (Bunderan HI),41,23,9,69,11,69,O3,SEDANG
2019-12-16,DKI1 (Bunderan HI),61,26,20,56,18,61,PM10,SEDANG
2019-12-17,DKI1 (Bunderan HI),56,25,16,38,12,56,PM10,SEDANG
2019-12-18,DKI1 (Bunderan HI),54,22,22,54,17,54,PM10,SEDANG
2019-12-19,DKI1 (Bunderan HI),54,24,17,46,13,54,PM10,SEDANG
2019-12-20,DKI1 (Bunderan HI),59,24,19,46,16,59,PM10,SEDANG
2019-12-21,DKI1 (Bunderan HI),57,22,28,49,14,57,PM10,SEDANG
2019-12-22,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2019-12-23,DKI1 (Bunderan HI),54,23,20,73,14,73,O3,SEDANG
2019-12-24,DKI1 (Bunderan HI),55,23,23,64,11,64,O3,SEDANG
2019-12-25,DKI1 (Bunderan HI),51,20,11,43,9,51,PM10,SEDANG
2019-12-26,DKI1 (Bunderan HI),54,23,19,52,9,54,PM10,SEDANG
2019-12-27,DKI1 (Bunderan HI),52,28,21,41,11,52,PM10,SEDANG
2019-12-28,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2019-12-29,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2019-12-30,DKI1 (Bunderan HI),52,22,28,47,9,52,PM10,SEDANG
2019-12-31,DKI1 (Bunderan HI),41,22,14,29,9,41,PM10,BAIK
2019-12-01,DKI2 (Kelapa Gading),63,10,27,56,10,63,PM10,SEDANG
2019-12-02,DKI2 (Kelapa Gading),50,7,12,84,7,84,O3,SEDANG
2019-12-03,DKI2 (Kelapa Gading),68,8,20,75,16,75,O3,SEDANG
2019-12-04,DKI2 (Kelapa Gading),57,8,15,52,13,57,PM10,SEDANG
2019-12-05,DKI2 (Kelapa Gading),55,8,14,55,9,55,PM10,SEDANG
2019-12-06,DKI2 (Kelapa Gading),56,7,20,47,10,56,PM10,SEDANG
2019-12-07,DKI2 (Kelapa Gading),48,8,13,45,9,48,PM10,BAIK
2019-12-08,DKI2 (Kelapa Gading),52,7,18,52,8,52,PM10,SEDANG
2019-12-09,DKI2 (Kelapa Gading),71,11,24,79,10,79,O3,SEDANG
2019-12-10,DKI2 (Kelapa Gading),62,7,19,73,10,73,O3,SEDANG
2019-12-11,DKI2 (Kelapa Gading),74,10,22,142,12,142,O3,TIDAK SEHAT
2019-12-12,DKI2 (Kelapa Gading),74,10,28,67,13,74,PM10,SEDANG
2019-12-13,DKI2 (Kelapa Gading),66,9,16,80,12,80,O3,SEDANG
2019-12-14,DKI2 (Kelapa Gading),63,10,19,68,10,68,O3,SEDANG
2019-12-15,DKI2 (Kelapa Gading),56,9,19,78,9,78,O3,SEDANG
2019-12-16,DKI2 (Kelapa Gading),76,10,19,60,11,76,PM10,SEDANG
2019-12-17,DKI2 (Kelapa Gading),62,9,15,60,12,62,PM10,SEDANG
2019-12-18,DKI2 (Kelapa Gading),58,8,24,90,10,90,O3,SEDANG
2019-12-19,DKI2 (Kelapa Gading),60,9,19,74,14,74,O3,SEDANG
2019-12-20,DKI2 (Kelapa Gading),72,10,20,73,10,73,O3,SEDANG
2019-12-21,DKI2 (Kelapa Gading),72,14,27,59,15,72,PM10,SEDANG
2019-12-22,DKI2 (Kelapa Gading),53,7,16,51,13,53,PM10,SEDANG
2019-12-23,DKI2 (Kelapa Gading),60,10,27,77,18,77,O3,SEDANG
2019-12-24,DKI2 (Kelapa Gading),68,11,23,55,10,68,PM10,SEDANG
2019-12-25,DKI2 (Kelapa Gading),53,7,9,54,6,54,O3,SEDANG
2019-12-26,DKI2 (Kelapa Gading),53,7,22,68,12,68,O3,SEDANG
2019-12-27,DKI2 (Kelapa Gading),53,8,25,62,10,62,O3,SEDANG
2019-12-28,DKI2 (Kelapa Gading),64,10,25,40,11,64,PM10,SEDANG
2019-12-29,DKI2 (Kelapa Gading),59,9,21,54,7,59,PM10,SEDANG
2019-12-30,DKI2 (Kelapa Gading),66,8,28,89,8,89,O3,SEDANG
2019-12-31,DKI2 (Kelapa Gading),46,7,14,35,7,46,PM10,BAIK
2019-12-01,DKI3 (Jagakarsa),34,8,30,90,8,90,O3,SEDANG
2019-12-02,DKI3 (Jagakarsa),27,11,21,91,6,91,O3,SEDANG
2019-12-03,DKI3 (Jagakarsa),51,12,28,76,12,76,O3,SEDANG
2019-12-04,DKI3 (Jagakarsa),61,12,29,82,9,82,O3,SEDANG
2019-12-05,DKI3 (Jagakarsa),39,12,22,85,9,85,O3,SEDANG
