tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2019-02-01,DKI1 (Bunderan HI),61,20,47,93,9,93,O3,SEDANG
2019-02-02,DKI1 (Bunderan HI),61,37,47,31,10,61,PM10,SEDANG
2019-02-03,DKI1 (Bunderan HI),51,26,16,37,7,51,PM10,SEDANG
2019-02-04,DKI1 (Bunderan HI),54,22,27,31,6,54,PM10,SEDANG
2019-02-05,DKI1 (Bunderan HI),45,20,29,30,7,45,PM10,BAIK
2019-02-06,DKI1 (Bunderan HI),49,26,20,24,11,49,PM10,BAIK
2019-02-07,DKI1 (Bunderan HI),59,25,34,65,10,65,O3,SEDANG
2019-02-08,DKI1 (Bunderan HI),45,17,23,132,13,132,O3,TIDAK SEHAT
2019-02-09,DKI1 (Bunderan HI),57,18,20,144,9,144,O3,TIDAK SEHAT
2019-02-10,DKI1 (Bunderan HI),56,21,22,64,11,64,O3,SEDANG
2019-02-11,DKI1 (Bunderan HI),30,17,19,60,7,60,O3,SEDANG
2019-02-12,DKI1 (Bunderan HI),50,20,36,,14,50,PM10,BAIK
2019-02-13,DKI1 (Bunderan HI),52,14,33,17,18,52,PM10,SEDANG
2019-02-14,DKI1 (Bunderan HI),53,14,35,28,15,53,PM10,SEDANG
2019-02-15,DKI1 (Bunderan HI),31,13,19,22,9,31,PM10,BAIK
2019-02-16,DKI1 (Bunderan HI),18,13,15,51,10,51,O3,SEDANG
2019-02-17,DKI1 (Bunderan HI),24,17,13,46,10,46,O3,BAIK
2019-02-18,DKI1 (Bunderan HI),41,21,25,41,18,41,PM10,BAIK
2019-02-19,DKI1 (Bunderan HI),64,20,26,48,21,64,PM10,SEDANG
2019-02-20,DKI1 (Bunderan HI),56,14,34,22,21,56,PM10,SEDANG
2019-02-21,DKI1 (Bunderan HI),37,14,28,19,17,37,PM10,BAIK
2019-02-22,DKI1 (Bunderan HI),49,14,32,16,19,49,PM10,BAIK
2019-02-23,DKI1 (Bunderan HI),32,12,24,56,15,56,O3,SEDANG
2019-02-24,DKI1 (Bunderan HI),48,12,29,46,14,48,PM10,BAIK
2019-02-25,DKI1 (Bunderan HI),36,12,23,49,11,49,O3,BAIK
2019-02-26,DKI1 (Bunderan HI),48,14,25,25,14,48,PM10,BAIK
