tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2019-07-01,DKI1 (Bunderan HI),59,10,23,51,15,59,PM10,SEDANG
2019-07-02,DKI1 (Bunderan HI),61,11,24,73,15,73,O3,SEDANG
2019-07-03,DKI1 (Bunderan HI),60,26,21,45,16,60,PM10,SEDANG
2019-07-04,DKI1 (Bunderan HI),58,25,20,29,16,58,PM10,SEDANG
2019-07-05,DKI1 (Bunderan HI),58,22,23,43,13,58,PM10,SEDANG
2019-07-06,DKI1 (Bunderan HI),57,27,22,42,13,57,PM10,SEDANG
2019-07-07,DKI1 (Bunderan HI),63,23,12,41,7,63,PM10,SEDANG
2019-07-08,DKI1 (Bunderan HI),60,23,17,36,10,60,PM10,SEDANG
2019-07-09,DKI1 (Bunderan HI),60,21,22,72,15,72,O3,SEDANG
2019-07-10,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2019-07-11,DKI1 (Bunderan HI),62,26,20,32,14,62,PM10,SEDANG
2019-07-12,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2019-07-13,DKI1 (Bunderan HI),59,20,18,105,14,105,O3,TIDAK SEHAT
2019-07-14,DKI1 (Bunderan HI),72,20,18,105,17,105,O3,TIDAK SEHAT
2019-07-15,DKI1 (Bunderan HI),58,23,23,39,13,58,PM10,SEDANG
2019-07-16,DKI1 (Bunderan HI),62,23,24,51,19,62,PM10,SEDANG
2019-07-17,DKI1 (Bunderan HI),64,23,27,65,19,65,O3,SEDANG
2019-07-18,DKI1 (Bunderan HI),66,22,23,49,16,66,PM10,SEDANG
2019-07-19,DKI1 (Bunderan HI),55,22,26,34,18,55,PM10,SEDANG
2019-07-20,DKI1 (Bunderan HI),62,22,22,64,22,64,O3,SEDANG
2019-07-21,DKI1 (Bunderan HI),57,19,18,69,12,69,O3,SEDANG
2019-07-22,DKI1 (Bunderan HI),59,20,24,79,21,79,O3,SEDANG
2019-07-23,DKI1 (Bunderan HI),64,25,23,42,15,64,PM10,SEDANG
2019-07-24,DKI1 (Bunderan HI),62,22,20,52,19,62,PM10,SEDANG
2019-07-25,DKI1 (Bunderan HI),66,23,25,75,25,75,O3,SEDANG
2019-07-26,DKI1 (Bunderan HI),65,22,21,38,21,65,PM10,SEDANG
2019-07-27,DKI1 (Bunderan HI),59,15,17,47,13,59,PM10,SEDANG
2019-07-28,DKI1 (Bunderan HI),66,14,15,73,13,73,O3,SEDANG
2019-07-29,DKI1 (Bunderan HI),65,14,27,53,17,65,PM10,SEDANG
2019-07-30,DKI1 (Bunderan HI),64,20,26,63,15,64,PM10,SEDANG
2019-07-31,DKI1 (Bunderan HI),63,21,22,64,13,64,O3,SEDANG
2019-07-01,DKI2 (Kelapa Gading),69,12,10,70,9,70,O3,SEDANG
2019-07-02,DKI2 (Kelapa Gading),67,12,9,---,8,67,PM10,SEDANG
2019-07-03,DKI2 (Kelapa Gading),71,20,11,74,10,74,O3,SEDANG
2019-07-04,DKI2 (Kelapa Gading),69,16,7,78,9,78,O3,SEDANG
2019-07-05,DKI2 (Kelapa Gading),63,13,12,91,8,91,O3,SEDANG
2019-07-06,DKI2 (Kelapa Gading),58,10,6,50,8,58,PM10,SEDANG
