tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2019-06-01,DKI1 (Bunderan HI),50,6,18,69,15,69,O3,SEDANG
2019-06-02,DKI1 (Bunderan HI),53,5,22,72,14,72,O3,SEDANG
2019-06-03,DKI1 (Bunderan HI),40,4,13,62,10,62,O3,SEDANG
2019-06-04,DKI1 (Bunderan HI),55,4,18,48,11,55,PM10,SEDANG
2019-06-05,DKI1 (Bunderan HI),53,9,20,35,13,53,PM10,SEDANG
2019-06-06,DKI1 (Bunderan HI),33,6,11,39,9,39,O3,BAIK
2019-06-07,DKI1 (Bunderan HI),43,5,9,34,8,43,PM10,BAIK
2019-06-08,DKI1 (Bunderan HI),29,4,13,71,8,71,O3,SEDANG
2019-06-09,DKI1 (Bunderan HI),37,5,17,76,15,76,O3,SEDANG
2019-06-10,DKI1 (Bunderan HI),45,8,20,56,16,56,O3,SEDANG
2019-06-11,DKI1 (Bunderan HI),48,8,22,64,22,64,O3,SEDANG
2019-06-12,DKI1 (Bunderan HI),67,8,22,72,18,72,O3,SEDANG
2019-06-13,DKI1 (Bunderan HI),55,9,25,68,21,68,O3,SEDANG
2019-06-14,DKI1 (Bunderan HI),52,7,21,59,16,59,O3,SEDANG
2019-06-15,DKI1 (Bunderan HI),46,7,27,56,24,56,O3,SEDANG
2019-06-16,DKI1 (Bunderan HI),50,9,16,70,17,70,O3,SEDANG
2019-06-17,DKI1 (Bunderan HI),52,9,23,42,14,52,PM10,SEDANG
2019-06-18,DKI1 (Bunderan HI),52,10,20,44,12,52,PM10,SEDANG
2019-06-19,DKI1 (Bunderan HI),52,11,16,68,16,68,O3,SEDANG
2019-06-20,DKI1 (Bunderan HI),62,12,25,79,17,79,O3,SEDANG
2019-06-21,DKI1 (Bunderan HI),62,13,23,66,13,66,O3,SEDANG
2019-06-22,DKI1 (Bunderan HI),61,14,17,91,15,91,O3,SEDANG
2019-06-23,DKI1 (Bunderan HI),65,9,20,76,17,76,O3,SEDANG
2019-06-24,DKI1 (Bunderan HI),63,10,20,75,13,75,O3,SEDANG
2019-06-25,DKI1 (Bunderan HI),---,13,23,78,14,78,O3,SEDANG
2019-06-26,DKI1 (Bunderan HI),63,14,20,62,15,63,PM10,SEDANG
2019-06-27,DKI1 (Bunderan HI),71,10,22,113,16,113,O3,TIDAK SEHAT
2019-06-28,DKI1 (Bunderan HI),62,8,28,69,21,69,O3,SEDANG
2019-06-29,DKI1 (Bunderan HI),59,14,26,51,14,59,PM10,SEDANG
2019-06-30,DKI1 (Bunderan HI),57,13,16,58,12,58,O3,SEDANG
2019-06-01,DKI2 (Kelapa Gading),60,9,12,104,7,104,O3,TIDAK SEHAT
2019-06-02,DKI2 (Kelapa Gading),59,8,17,106,9,106,O3,TIDAK SEHAT
2019-06-03,DKI2 (Kelapa Gading),52,9,15,77,10,77,O3,SEDANG
2019-06-04,DKI2 (Kelapa Gading),67,14,14,75,7,75,O3,SEDANG
2019-06-05,DKI2 (Kelapa Gading),64,10,13,52,6,64,PM10,SEDANG
2019-06-06,DKI2 (Kelapa Gading),50,23,5,52,4,52,O3,SEDANG
2019-06-07,DKI2 (Kelapa Gading),51,13,5,52,5,52,O3,SEDANG
2019-06-08,DKI2 (Kelapa Gading),44,10,8,105,8,105,O3,TIDAK SEHAT
2019-06-09,DKI2 (Kelapa Gading),51,10,11,92,10,92,O3,SEDANG
2019-06-10,DKI2 (Kelapa Gading),57,11,14,71,8,71,O3,SEDANG
2019-06-11,DKI2 (Kelapa Gading),57,12,13,87,7,87,O3,SEDANG
2019-06-12,DKI2 (Kelapa Gading),62,9,14,92,10,92,O3,SEDANG
2019-06-13,DKI2 (Kelapa Gading),67,9,13,105,9,105,O3,TIDAK SEHAT
2019-06-14,DKI2 (Kelapa Gading),68,10,14,72,9,72,O3,SEDANG
2019-06-15,DKI2 (Kelapa Gading),57,9,18,93,10,93,O3,SEDANG
2019-06-16,DKI2 (Kelapa Gading),62,11,7,89,4,89,O3,SEDANG
2019-06-17,DKI2 (Kelapa Gading),68,12,14,68,10,68,PM10,SEDANG
2019-06-18,DKI2 (Kelapa Gading),69,12,9,53,10,69,PM10,SEDANG
2019-06-19,DKI2 (Kelapa Gading),80,27,11,61,11,80,PM10,SEDANG
2019-06-20,DKI2 (Kelapa Gading),87,18,19,94,13,94,O3,SEDANG
2019-06-21,DKI2 (Kelapa Gading),79,10,14,65,12,79,PM10,SEDANG
2019-06-22,DKI2 (Kelapa Gading),80,16,10,110,10,110,O3,TIDAK SEHAT
2019-06-23,DKI2 (Kelapa Gading),70,11,10,79,9,79,O3,SEDANG
2019-06-24,DKI2 (Kelapa Gading),66,12,11,70,7,70,O3,SEDANG
2019-06-25,DKI2 (Kelapa Gading),89,19,12,73,10,89,PM10,SEDANG
2019-06-26,DKI2 (Kelapa Gading),84,19,10,67,11,84,PM10,SEDANG
2019-06-27,DKI2 (Kelapa Gading),81,14,20,137,12,137,O3,TIDAK SEHAT
2019-06-28,DKI2 (Kelapa Gading),65,11,13,81,10,81,O3,SEDANG
2019-06-29,DKI2 (Kelapa Gading),69,12,11,173,10,173,O3,TIDAK SEHAT
2019-06-30,DKI2 (Kelapa Gading),63,12,8,57,8,63,PM10,SEDANG
2019-06-01,DKI3 (Jagakarsa),57,11,11,76,5,76,O3,SEDANG
2019-06-02,DKI3 (Jagakarsa),58,11,23,101,9,101,O3,TIDAK SEHAT
2019-06-03,DKI3 (Jagakarsa),50,11,12,89,6,89,O3,SEDANG
2019-06-04,DKI3 (Jagakarsa),75,11,18,82,9,82,O3,SEDANG
2019-06-05,DKI3 (Jagakarsa),73,11,20,65,9,73,PM10,SEDANG
2019-06-06,DKI3 (Jagakarsa),50,11,10,75,7,75,O3,SEDANG
2019-06-07,DKI3 (Jagakarsa),---,---,---,---,---,0,,TIDAK ADA DATA
2019-06-08,DKI3 (Jagakarsa),41,10,8,52,---,52,O3,SEDANG
2019-06-09,DKI3 (Jagakarsa),45,11,13,86,---,86,O3,SEDANG
2019-06-10,DKI3 (Jagakarsa),54,11,17,86,---,86,O3,SEDANG
2019-06-11,DKI3 (Jagakarsa),54,7,17,69,---,69,O3,SEDANG
2019-06-12,DKI3 (Jagakarsa),58,10,14,101,---,101,O3,TIDAK SEHAT
2019-06-13,DKI3 (Jagakarsa),67,11,22,100,11,100,O3,SEDANG
2019-06-14,DKI3 (Jagakarsa),60,11,20,98,14,98,O3,SEDANG
2019-06-15,DKI3 (Jagakarsa),54,10,20,112,8,112,O3,TIDAK SEHAT
2019-06-16,DKI3 (Jagakarsa),66,10,24,107,10,107,O3,TIDAK SEHAT
2019-06-17,DKI3 (Jagakarsa),60,11,21,93,8,93,O3,SEDANG
2019-06-18,DKI3 (Jagakarsa),59,13,10,74,9,74,O3,SEDANG
2019-06-19,DKI3 (Jagakarsa),64,13,13,86,14,86,O3,SEDANG
2019-06-20,DKI3 (Jagakarsa),77,12,34,79,16,79,O3,SEDANG
2019-06-21,DKI3 (Jagakarsa),72,12,16,103,10,103,O3,TIDAK SEHAT
2019-06-22,DKI3 (Jagakarsa),76,13,19,122,13,122,O3,TIDAK SEHAT
