tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2019-03-01,DKI1 (Bunderan HI),50,13,29,16,15,50,PM10,BAIK
2019-03-02,DKI1 (Bunderan HI),30,19,24,21,12,30,PM10,BAIK
2019-03-03,DKI1 (Bunderan HI),38,16,15,47,15,47,O3,BAIK
2019-03-04,DKI1 (Bunderan HI),52,21,32,42,22,52,PM10,SEDANG
2019-03-05,DKI1 (Bunderan HI),40,15,28,29,21,40,PM10,BAIK
2019-03-06,DKI1 (Bunderan HI),46,15,25,29,17,46,PM10,BAIK
2019-03-07,DKI1 (Bunderan HI),45,17,39,66,16,66,O3,SEDANG
2019-03-08,DKI1 (Bunderan HI),56,18,41,33,27,56,PM10,SEDANG
2019-03-09,DKI1 (Bunderan HI),48,14,29,109,21,109,O3,TIDAK SEHAT
2019-03-10,DKI1 (Bunderan HI),48,17,22,52,11,52,O3,SEDANG
2019-03-11,DKI1 (Bunderan HI),28,15,20,25,10,28,PM10,BAIK
2019-03-12,DKI1 (Bunderan HI),41,15,20,17,12,41,PM10,BAIK
2019-03-13,DKI1 (Bunderan HI),43,14,28,50,16,50,O3,BAIK
2019-03-14,DKI1 (Bunderan HI),47,16,30,99,18,99,O3,SEDANG
2019-03-15,DKI1 (Bunderan HI),57,29,28,60,16,60,O3,SEDANG
2019-03-16,DKI1 (Bunderan HI),47,15,42,28,12,47,PM10,BAIK
2019-03-17,DKI1 (Bunderan HI),30,19,18,33,9,33,O3,BAIK
2019-03-18,DKI1 (Bunderan HI),31,19,18,21,8,31,PM10,BAIK
2019-03-19,DKI1 (Bunderan HI),25,16,18,12,6,25,PM10,BAIK
2019-03-20,DKI1 (Bunderan HI),21,15,16,25,8,25,O3,BAIK
2019-03-21,DKI1 (Bunderan HI),23,3,16,24,10,24,O3,BAIK
2019-03-22,DKI1 (Bunderan HI),30,7,20,28,9,30,PM10,BAIK
2019-03-23,DKI1 (Bunderan HI),25,6,15,19,8,25,PM10,BAIK
2019-03-24,DKI1 (Bunderan HI),16,5,9,28,4,28,O3,BAIK
2019-03-25,DKI1 (Bunderan HI),18,5,14,19,7,19,O3,BAIK
2019-03-26,DKI1 (Bunderan HI),44,8,29,32,12,44,PM10,BAIK
2019-03-27,DKI1 (Bunderan HI),29,6,25,53,15,53,O3,SEDANG
2019-03-28,DKI1 (Bunderan HI),44,5,36,47,18,47,O3,BAIK
2019-03-29,DKI1 (Bunderan HI),53,6,34,54,20,54,O3,SEDANG
2019-03-30,DKI1 (Bunderan HI),40,6,25,79,16,79,O3,SEDANG
2019-03-31,DKI1 (Bunderan HI),51,8,35,94,18,94,O3,SEDANG
2019-03-01,DKI2 (Kelapa Gading),38,19,13,36,14,38,PM10,BAIK
2019-03-02,DKI2 (Kelapa Gading),50,51,11,30,11,51,SO2,SEDANG
2019-03-03,DKI2 (Kelapa Gading),46,23,6,78,8,78,O3,SEDANG
2019-03-04,DKI2 (Kelapa Gading),51,22,18,61,18,61,O3,SEDANG
2019-03-05,DKI2 (Kelapa Gading),44,21,12,64,22,64,O3,SEDANG
2019-03-06,DKI2 (Kelapa Gading),40,20,11,42,19,42,O3,BAIK
2019-03-07,DKI2 (Kelapa Gading),55,24,26,48,17,55,PM10,SEDANG
2019-03-08,DKI2 (Kelapa Gading),76,25,31,54,23,76,PM10,SEDANG
2019-03-09,DKI2 (Kelapa Gading),67,35,22,92,27,92,O3,SEDANG
2019-03-10,DKI2 (Kelapa Gading),60,26,16,164,19,164,O3,TIDAK SEHAT
2019-03-11,DKI2 (Kelapa Gading),55,23,15,44,18,55,PM10,SEDANG
2019-03-12,DKI2 (Kelapa Gading),30,20,9,34,12,34,O3,BAIK
2019-03-13,DKI2 (Kelapa Gading),50,27,14,43,22,50,PM10,BAIK
2019-03-14,DKI2 (Kelapa Gading),54,26,14,80,36,80,O3,SEDANG
2019-03-15,DKI2 (Kelapa Gading),59,23,19,85,35,85,O3,SEDANG
2019-03-16,DKI2 (Kelapa Gading),60,26,21,47,15,60,PM10,SEDANG
2019-03-17,DKI2 (Kelapa Gading),39,21,12,48,8,48,O3,BAIK
2019-03-18,DKI2 (Kelapa Gading),42,20,13,47,10,47,O3,BAIK
2019-03-19,DKI2 (Kelapa Gading),33,19,14,28,6,33,PM10,BAIK
2019-03-20,DKI2 (Kelapa Gading),27,8,8,33,12,33,O3,BAIK
2019-03-21,DKI2 (Kelapa Gading),35,8,9,37,9,37,O3,BAIK
2019-03-22,DKI2 (Kelapa Gading),31,8,11,45,12,45,O3,BAIK
2019-03-23,DKI2 (Kelapa Gading),26,7,7,39,15,39,O3,BAIK
2019-03-24,DKI2 (Kelapa Gading),19,7,5,40,2,40,O3,BAIK
2019-03-25,DKI2 (Kelapa Gading),21,7,7,37,7,37,O3,BAIK
2019-03-26,DKI2 (Kelapa Gading),58,10,24,53,16,58,PM10,SEDANG
2019-03-27,DKI2 (Kelapa Gading),43,11,12,72,14,72,O3,SEDANG
2019-03-28,DKI2 (Kelapa Gading),56,7,15,96,11,96,O3,SEDANG
2019-03-29,DKI2 (Kelapa Gading),62,13,18,69,17,69,O3,SEDANG
2019-03-30,DKI2 (Kelapa Gading),62,18,14,87,11,87,O3,SEDANG
2019-03-31,DKI2 (Kelapa Gading),60,11,26,84,11,84,O3,SEDANG
2019-03-01,DKI3 (Jagakarsa),52,9,18,70,7,70,O3,SEDANG
2019-03-02,DKI3 (Jagakarsa),45,10,25,62,11,62,O3,SEDANG
2019-03-03,DKI3 (Jagakarsa),53,10,22,77,9,77,O3,SEDANG
2019-03-04,DKI3 (Jagakarsa),55,11,20,104,13,104,O3,TIDAK SEHAT
2019-03-05,DKI3 (Jagakarsa),47,10,17,79,11,79,O3,SEDANG
2019-03-06,DKI3 (Jagakarsa),54,9,24,60,18,60,O3,SEDANG
2019-03-07,DKI3 (Jagakarsa),52,10,23,83,14,83,O3,SEDANG
2019-03-08,DKI3 (Jagakarsa),78,11,37,155,14,155,O3,TIDAK SEHAT
2019-03-09,DKI3 (Jagakarsa),63,10,22,111,11,111,O3,TIDAK SEHAT
2019-03-10,DKI3 (Jagakarsa),54,10,17,122,8,122,O3,TIDAK SEHAT
2019-03-11,DKI3 (Jagakarsa),54,10,16,36,12,54,PM10,SEDANG
2019-03-12,DKI3 (Jagakarsa),40,10,13,51,6,51,O3,SEDANG
2019-03-13,DKI3 (Jagakarsa),35,10,14,102,8,102,O3,TIDAK SEHAT
2019-03-14,DKI3 (Jagakarsa),57,11,52,72,18,72,O3,SEDANG
2019-03-15,DKI3 (Jagakarsa),71,11,21,69,10,71,PM10,SEDANG
2019-03-16,DKI3 (Jagakarsa),55,10,23,70,10,70,O3,SEDANG
2019-03-17,DKI3 (Jagakarsa),51,9,13,59,6,59,O3,SEDANG
