tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori,,,,,,,,,,,,
2019-05-01,DKI1 (Bunderan HI),49,3,24,54,11,54,O3,SEDANG,,,,,,,,,,,,
2019-05-02,DKI1 (Bunderan HI),27,5,14,19,5,27,PM10,BAIK,,,,,,,,,,,,
2019-05-03,DKI1 (Bunderan HI),41,15,24,42,16,42,O3,BAIK,,,,,,,,,,,,
2019-05-04,DKI1 (Bunderan HI),51,12,32,29,14,51,PM10,SEDANG,,,,,,,,,,,,
2019-05-05,DKI1 (Bunderan HI),38,7,34,82,15,82,O3,SEDANG,,,,,,,,,,,,
2019-05-06,DKI1 (Bunderan HI),35,7,22,70,13,70,O3,SEDANG,,,,,,,,,,,,
2019-05-07,DKI1 (Bunderan HI),49,9,31,44,16,49,PM10,BAIK,,,,,,,,,,,,
2019-05-08,DKI1 (Bunderan HI),55,4,30,61,21,61,O3,SEDANG,,,,,,,,,,,,
2019-05-09,DKI1 (Bunderan HI),52,6,26,57,19,57,O3,SEDANG,,,,,,,,,,,,
2019-05-10,DKI1 (Bunderan HI),35,3,24,42,16,42,O3,BAIK,,,,,,,,,,,,
2019-05-11,DKI1 (Bunderan HI),47,3,21,40,13,47,PM10,BAIK,,,,,,,,,,,,
2019-05-12,DKI1 (Bunderan HI),57,2,19,46,12,57,PM10,SEDANG,,,,,,,,,,,,
2019-05-13,DKI1 (Bunderan HI),51,3,28,41,15,51,PM10,SEDANG,,,,,,,,,,,,
2019-05-14,DKI1 (Bunderan HI),53,6,23,31,13,53,PM10,SEDANG,,,,,,,,,,,,
2019-05-15,DKI1 (Bunderan HI),56,11,19,38,12,56,PM10,SEDANG,,,,,,,,,,,,
2019-05-16,DKI1 (Bunderan HI),48,7,23,78,18,78,O3,SEDANG,,,,,,,,,,,,
2019-05-17,DKI1 (Bunderan HI),53,7,24,47,18,53,PM10,SEDANG,,,,,,,,,,,,
2019-05-18,DKI1 (Bunderan HI),47,10,21,59,15,59,O3,SEDANG,,,,,,,,,,,,
2019-05-19,DKI1 (Bunderan HI),72,12,18,80,16,80,O3,SEDANG,,,,,,,,,,,,
2019-05-20,DKI1 (Bunderan HI),54,8,22,47,15,54,PM10,SEDANG,,,,,,,,,,,,
2019-05-21,DKI1 (Bunderan HI),55,7,21,66,16,66,O3,SEDANG,,,,,,,,,,,,
2019-05-22,DKI1 (Bunderan HI),52,10,16,44,10,52,PM10,SEDANG,,,,,,,,,,,,
2019-05-23,DKI1 (Bunderan HI),47,7,20,59,16,59,O3,SEDANG,,,,,,,,,,,,
2019-05-24,DKI1 (Bunderan HI),55,11,22,38,13,55,PM10,SEDANG,,,,,,,,,,,,
2019-05-25,DKI1 (Bunderan HI),51,9,15,49,19,51,PM10,SEDANG,,,,,,,,,,,,
2019-05-26,DKI1 (Bunderan HI),49,8,14,75,15,75,O3,SEDANG,,,,,,,,,,,,
2019-05-27,DKI1 (Bunderan HI),58,13,32,60,14,60,O3,SEDANG,,,,,,,,,,,,
2019-05-28,DKI1 (Bunderan HI),52,10,26,39,10,52,PM10,SEDANG,,,,,,,,,,,,
2019-05-29,DKI1 (Bunderan HI),51,10,19,40,11,51,PM10,SEDANG,,,,,,,,,,,,
2019-05-30,DKI1 (Bunderan HI),53,6,19,54,10,54,O3,SEDANG,,,,,,,,,,,,
2019-05-31,DKI1 (Bunderan HI),48,6,16,42,16,48,PM10,BAIK,,,,,,,,,,,,
2019-05-01,DKI2 (Kelapa Gading),43,8,15,56,7,56,O3,SEDANG,,,,,,,,,,,,
2019-05-02,DKI2 (Kelapa Gading),25,8,9,29,6,29,O3,BAIK,,,,,,,,,,,,
2019-05-03,DKI2 (Kelapa Gading),50,9,9,59,9,59,O3,SEDANG,,,,,,,,,,,,
2019-05-04,DKI2 (Kelapa Gading),72,17,27,56,11,72,PM10,SEDANG,,,,,,,,,,,,
2019-05-05,DKI2 (Kelapa Gading),59,11,13,65,14,65,O3,SEDANG,,,,,,,,,,,,
2019-05-06,DKI2 (Kelapa Gading),52,11,9,69,9,69,O3,SEDANG,,,,,,,,,,,,
2019-05-07,DKI2 (Kelapa Gading),61,10,22,63,13,63,O3,SEDANG,,,,,,,,,,,,
2019-05-08,DKI2 (Kelapa Gading),69,9,28,74,13,74,O3,SEDANG,,,,,,,,,,,,
2019-05-09,DKI2 (Kelapa Gading),67,11,20,81,13,81,O3,SEDANG,,,,,,,,,,,,
2019-05-10,DKI2 (Kelapa Gading),52,11,12,87,11,87,O3,SEDANG,,,,,,,,,,,,
2019-05-11,DKI2 (Kelapa Gading),41,9,7,49,8,49,O3,BAIK,,,,,,,,,,,,
2019-05-12,DKI2 (Kelapa Gading),61,11,11,61,7,61,PM10,SEDANG,,,,,,,,,,,,
2019-05-13,DKI2 (Kelapa Gading),63,11,19,66,11,66,O3,SEDANG,,,,,,,,,,,,
2019-05-14,DKI2 (Kelapa Gading),73,12,12,60,10,73,PM10,SEDANG,,,,,,,,,,,,
2019-05-15,DKI2 (Kelapa Gading),68,8,6,56,11,68,PM10,SEDANG,,,,,,,,,,,,
2019-05-16,DKI2 (Kelapa Gading),55,9,9,111,10,111,O3,TIDAK SEHAT,,,,,,,,,,,,
2019-05-17,DKI2 (Kelapa Gading),63,9,9,100,12,100,O3,SEDANG,,,,,,,,,,,,
2019-05-18,DKI2 (Kelapa Gading),59,11,12,88,9,88,O3,SEDANG,,,,,,,,,,,,
2019-05-19,DKI2 (Kelapa Gading),92,21,13,86,10,92,PM10,SEDANG,,,,,,,,,,,,
2019-05-20,DKI2 (Kelapa Gading),71,6,9,73,9,73,O3,SEDANG,,,,,,,,,,,,
2019-05-21,DKI2 (Kelapa Gading),80,8,9,72,9,80,PM10,SEDANG,,,,,,,,,,,,
2019-05-22,DKI2 (Kelapa Gading),68,10,9,58,10,68,PM10,SEDANG,,,,,,,,,,,,
2019-05-23,DKI2 (Kelapa Gading),64,12,12,60,10,64,PM10,SEDANG,,,,,,,,,,,,
2019-05-24,DKI2 (Kelapa Gading),69,13,11,62,11,69,PM10,SEDANG,,,,,,,,,,,,
