tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2020-05-01,DKI1 (Bunderan HI),47,2,---,38,10,47,PM10,BAIK
2020-05-02,DKI1 (Bunderan HI),32,2,12,29,9,32,PM10,BAIK
2020-05-03,DKI1 (Bunderan HI),52,5,11,35,9,52,PM10,SEDANG
2020-05-04,DKI1 (Bunderan HI),50,4,4,30,8,50,PM10,BAIK
2020-05-05,DKI1 (Bunderan HI),51,7,7,34,9,51,PM10,SEDANG
2020-05-06,DKI1 (Bunderan HI),44,4,4,29,7,44,PM10,BAIK
2020-05-07,DKI1 (Bunderan HI),50,4,3,48,9,50,PM10,BAIK
2020-05-08,DKI1 (Bunderan HI),60,4,4,60,10,60,PM10,SEDANG
2020-05-09,DKI1 (Bunderan HI),56,4,3,34,12,56,PM10,SEDANG
2020-05-10,DKI1 (Bunderan HI),64,5,3,44,12,64,PM10,SEDANG
2020-05-11,DKI1 (Bunderan HI),44,2,4,47,8,47,O3,BAIK
2020-05-12,DKI1 (Bunderan HI),47,3,4,62,10,62,O3,SEDANG
2020-05-13,DKI1 (Bunderan HI),54,2,3,38,8,54,PM10,SEDANG
2020-05-14,DKI1 (Bunderan HI),56,7,9,42,9,56,PM10,SEDANG
2020-05-15,DKI1 (Bunderan HI),60,7,7,40,9,60,PM10,SEDANG
2020-05-16,DKI1 (Bunderan HI),58,6,8,57,8,58,PM10,SEDANG
2020-05-17,DKI1 (Bunderan HI),60,6,8,83,7,83,O3,SEDANG
2020-05-18,DKI1 (Bunderan HI),54,4,6,43,10,54,PM10,SEDANG
2020-05-19,DKI1 (Bunderan HI),30,8,8,59,13,59,O3,SEDANG
2020-05-20,DKI1 (Bunderan HI),50,12,10,34,8,50,PM10,BAIK
2020-05-21,DKI1 (Bunderan HI),27,7,7,49,9,49,O3,BAIK
2020-05-22,DKI1 (Bunderan HI),58,8,7,42,8,58,PM10,SEDANG
2020-05-23,DKI1 (Bunderan HI),42,3,10,52,8,52,O3,SEDANG
2020-05-24,DKI1 (Bunderan HI),41,3,8,43,5,43,O3,BAIK
2020-05-25,DKI1 (Bunderan HI),26,2,4,27,5,27,O3,BAIK
2020-05-26,DKI1 (Bunderan HI),32,4,5,29,8,32,PM10,BAIK
2020-05-27,DKI1 (Bunderan HI),22,4,4,65,8,65,O3,SEDANG
2020-05-28,DKI1 (Bunderan HI),44,5,6,90,16,90,O3,SEDANG
2020-05-29,DKI1 (Bunderan HI),58,8,6,74,12,74,O3,SEDANG
2020-05-30,DKI1 (Bunderan HI),52,16,7,41,10,52,PM10,SEDANG
2020-05-31,DKI1 (Bunderan HI),48,14,7,46,9,48,PM10,BAIK
2020-05-01,DKI2 (Kelapa Gading),55,26,12,53,5,55,PM10,SEDANG
2020-05-02,DKI2 (Kelapa Gading),36,17,7,48,5,48,O3,BAIK
2020-05-03,DKI2 (Kelapa Gading),60,34,17,47,5,60,PM10,SEDANG
2020-05-04,DKI2 (Kelapa Gading),53,20,7,48,6,53,PM10,SEDANG
2020-05-05,DKI2 (Kelapa Gading),53,21,10,42,8,53,PM10,SEDANG
2020-05-06,DKI2 (Kelapa Gading),52,18,9,45,5,52,PM10,SEDANG
2020-05-07,DKI2 (Kelapa Gading),56,24,12,60,---,60,O3,SEDANG
2020-05-08,DKI2 (Kelapa Gading),62,20,9,64,9,64,O3,SEDANG
2020-05-09,DKI2 (Kelapa Gading),51,15,8,49,6,51,PM10,SEDANG
2020-05-10,DKI2 (Kelapa Gading),59,17,14,57,11,59,PM10,SEDANG
2020-05-11,DKI2 (Kelapa Gading),50,24,11,62,7,62,O3,SEDANG
2020-05-12,DKI2 (Kelapa Gading),54,21,14,55,10,55,O3,SEDANG
