tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2019-10-01,DKI1 (Bunderan HI),62,24,18,75,16,75,O3,SEDANG
2019-10-02,DKI1 (Bunderan HI),62,20,15,56,16,62,PM10,SEDANG
2019-10-03,DKI1 (Bunderan HI),59,19,16,65,21,65,O3,SEDANG
2019-10-04,DKI1 (Bunderan HI),56,19,17,74,23,74,O3,SEDANG
2019-10-05,DKI1 (Bunderan HI),40,51,14,49,38,51,SO2,SEDANG
2019-10-06,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2019-10-07,DKI1 (Bunderan HI),---,---,---,---,---,0,,TIDAK ADA DATA
2019-10-08,DKI1 (Bunderan HI),---,25,19,52,13,52,O3,SEDANG
2019-10-09,DKI1 (Bunderan HI),---,19,19,47,16,47,O3,BAIK
2019-10-10,DKI1 (Bunderan HI),69,18,19,73,16,73,O3,SEDANG
2019-10-11,DKI1 (Bunderan HI),65,18,21,92,24,92,O3,SEDANG
2019-10-12,DKI1 (Bunderan HI),66,19,16,72,14,72,O3,SEDANG
2019-10-13,DKI1 (Bunderan HI),63,19,17,84,13,84,O3,SEDANG
2019-10-14,DKI1 (Bunderan HI),62,19,18,79,13,79,O3,SEDANG
2019-10-15,DKI1 (Bunderan HI),59,18,18,91,14,91,O3,SEDANG
2019-10-16,DKI1 (Bunderan HI),66,19,22,78,17,78,O3,SEDANG
2019-10-17,DKI1 (Bunderan HI),58,18,20,70,12,70,O3,SEDANG
2019-10-18,DKI1 (Bunderan HI),57,18,17,41,13,57,PM10,SEDANG
2019-10-19,DKI1 (Bunderan HI),57,19,17,30,11,57,PM10,SEDANG
2019-10-20,DKI1 (Bunderan HI),62,20,22,76,12,76,O3,SEDANG
2019-10-21,DKI1 (Bunderan HI),58,22,40,53,11,58,PM10,SEDANG
2019-10-22,DKI1 (Bunderan HI),55,23,16,66,16,66,O3,SEDANG
2019-10-23,DKI1 (Bunderan HI),52,22,15,73,17,73,O3,SEDANG
2019-10-24,DKI1 (Bunderan HI),63,25,14,61,18,63,PM10,SEDANG
2019-10-25,DKI1 (Bunderan HI),61,21,13,56,12,61,PM10,SEDANG
2019-10-26,DKI1 (Bunderan HI),63,23,13,93,15,93,O3,SEDANG
2019-10-27,DKI1 (Bunderan HI),68,22,28,72,12,72,O3,SEDANG
2019-10-28,DKI1 (Bunderan HI),59,19,16,45,15,59,PM10,SEDANG
2019-10-29,DKI1 (Bunderan HI),62,21,21,43,14,62,PM10,SEDANG
2019-10-30,DKI1 (Bunderan HI),56,23,19,89,16,89,O3,SEDANG
2019-10-31,DKI1 (Bunderan HI),59,28,18,58,14,59,PM10,SEDANG
