tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori
2019-09-01,DKI1 (Bunderan HI),54,19,13,50,10,54,PM10,SEDANG
2019-09-02,DKI1 (Bunderan HI),58,18,24,67,16,67,O3,SEDANG
2019-09-03,DKI1 (Bunderan HI),57,18,20,61,20,61,O3,SEDANG
2019-09-04,DKI1 (Bunderan HI),57,18,20,46,12,57,PM10,SEDANG
2019-09-05,DKI1 (Bunderan HI),60,20,22,52,,60,PM10,SEDANG
2019-09-06,DKI1 (Bunderan HI),56,20,23,43,15,56,PM10,SEDANG
2019-09-07,DKI1 (Bunderan HI),57,21,20,49,13,57,PM10,SEDANG
2019-09-08,DKI1 (Bunderan HI),52,21,14,59,10,59,O3,SEDANG
2019-09-09,DKI1 (Bunderan HI),53,20,18,47,14,53,PM10,SEDANG
2019-09-10,DKI1 (Bunderan HI),50,26,15,45,13,50,PM10,BAIK
2019-09-11,DKI1 (Bunderan HI),54,24,20,69,16,69,O3,SEDANG
2019-09-12,DKI1 (Bunderan HI),57,22,21,90,18,90,O3,SEDANG
2019-09-13,DKI1 (Bunderan HI),57,21,22,90,18,90,O3,SEDANG
2019-09-14,DKI1 (Bunderan HI),63,21,20,89,14,89,O3,SEDANG
2019-09-15,DKI1 (Bunderan HI),55,21,16,50,14,55,PM10,SEDANG
2019-09-16,DKI1 (Bunderan HI),51,21,15,35,10,51,PM10,SEDANG
2019-09-17,DKI1 (Bunderan HI),51,22,17,35,14,51,PM10,SEDANG
2019-09-18,DKI1 (Bunderan HI),52,20,20,47,16,52,PM10,SEDANG
2019-09-19,DKI1 (Bunderan HI),,19,,,,19,SO2,BAIK
2019-09-20,DKI1 (Bunderan HI),55,20,19,41,13,55,PM10,SEDANG
2019-09-21,DKI1 (Bunderan HI),51,22,16,95,14,95,O3,SEDANG
2019-09-22,DKI1 (Bunderan HI),58,22,16,75,12,75,O3,SEDANG
2019-09-23,DKI1 (Bunderan HI),56,23,18,45,12,56,PM10,SEDANG
2019-09-24,DKI1 (Bunderan HI),54,22,18,48,12,54,PM10,SEDANG
2019-09-25,DKI1 (Bunderan HI),67,25,24,71,17,71,O3,SEDANG
2019-09-26,DKI1 (Bunderan HI),59,20,21,64,14,64,O3,SEDANG
2019-09-27,DKI1 (Bunderan HI),58,23,23,46,16,58,PM10,SEDANG
2019-09-28,DKI1 (Bunderan HI),61,19,18,49,10,61,PM10,SEDANG
2019-09-29,DKI1 (Bunderan HI),73,18,16,58,14,73,PM10,SEDANG
2019-09-30,DKI1 (Bunderan HI),62,18,17,65,14,65,O3,SEDANG
2019-09-01,DKI2 (Kelapa Gading),74,8,12,66,7,74,PM10,SEDANG
2019-09-02,DKI2 (Kelapa Gading),68,8,17,75,9,75,O3,SEDANG
2019-09-03,DKI2 (Kelapa Gading),73,7,11,96,9,96,O3,SEDANG
2019-09-04,DKI2 (Kelapa Gading),74,7,12,76,8,76,O3,SEDANG
2019-09-05,DKI2 (Kelapa Gading),71,6,11,64,7,71,PM10,SEDANG
2019-09-06,DKI2 (Kelapa Gading),74,7,21,77,9,77,O3,SEDANG
2019-09-07,DKI2 (Kelapa Gading),73,7,12,62,7,73,PM10,SEDANG
2019-09-08,DKI2 (Kelapa Gading),62,7,10,69,7,69,O3,SEDANG
2019-09-09,DKI2 (Kelapa Gading),66,7,11,69,6,69,O3,SEDANG
2019-09-10,DKI2 (Kelapa Gading),64,7,7,57,6,64,PM10,SEDANG
2019-09-11,DKI2 (Kelapa Gading),75,10,15,85,9,85,O3,SEDANG
2019-09-12,DKI2 (Kelapa Gading),77,9,16,134,8,134,O3,TIDAK SEHAT
2019-09-13,DKI2 (Kelapa Gading),81,8,20,112,8,112,O3,TIDAK SEHAT
2019-09-14,DKI2 (Kelapa Gading),76,9,16,91,10,91,O3,SEDANG
2019-09-15,DKI2 (Kelapa Gading),74,8,14,63,6,74,PM10,SEDANG
2019-09-16,DKI2 (Kelapa Gading),67,7,9,52,7,67,PM10,SEDANG
2019-09-17,DKI2 (Kelapa Gading),66,8,11,66,6,66,PM10,SEDANG
2019-09-18,DKI2 (Kelapa Gading),71,7,9,88,6,88,O3,SEDANG
2019-09-19,DKI2 (Kelapa Gading),69,6,8,54,4,69,PM10,SEDANG
2019-09-20,DKI2 (Kelapa Gading),66,7,9,56,6,66,PM10,SEDANG
2019-09-21,DKI2 (Kelapa Gading),63,9,9,120,6,120,O3,TIDAK SEHAT
2019-09-22,DKI2 (Kelapa Gading),78,11,14,84,6,84,O3,SEDANG
2019-09-23,DKI2 (Kelapa Gading),70,8,11,62,7,70,PM10,SEDANG
2019-09-24,DKI2 (Kelapa Gading),73,8,11,64,8,73,PM10,SEDANG
2019-09-25,DKI2 (Kelapa Gading),78,11,14,82,7,82,O3,SEDANG
2019-09-26,DKI2 (Kelapa Gading),74,8,10,64,8,74,PM10,SEDANG
2019-09-27,DKI2 (Kelapa Gading),65,7,10,68,9,68,O3,SEDANG
2019-09-28,DKI2 (Kelapa Gading),61,7,8,66,6,66,O3,SEDANG
2019-09-29,DKI2 (Kelapa Gading),74,8,15,65,9,74,PM10,SEDANG
2019-09-30,DKI2 (Kelapa Gading),71,7,17,79,9,79,O3,SEDANG
2019-09-01,DKI3 (Jagakarsa),58,13,26,79,10,79,O3,SEDANG
2019-09-02,DKI3 (Jagakarsa),58,12,19,103,9,103,O3,TIDAK SEHAT
2019-09-03,DKI3 (Jagakarsa),61,13,18,141,11,141,O3,TIDAK SEHAT
2019-09-04,DKI3 (Jagakarsa),68,12,24,132,13,132,O3,TIDAK SEHAT
2019-09-05,DKI3 (Jagakarsa),55,14,26,111,12,111,O3,TIDAK SEHAT
2019-09-06,DKI3 (Jagakarsa),60,12,20,127,9,127,O3,TIDAK SEHAT
2019-09-07,DKI3 (Jagakarsa),71,13,26,78,15,78,O3,SEDANG
2019-09-08,DKI3 (Jagakarsa),52,13,20,82,11,82,O3,SEDANG
2019-09-09,DKI3 (Jagakarsa),64,12,20,106,11,106,O3,TIDAK SEHAT
2019-09-10,DKI3 (Jagakarsa),66,13,21,73,11,73,O3,SEDANG
2019-09-11,DKI3 (Jagakarsa),63,14,25,87,14,87,O3,SEDANG
2019-09-12,DKI3 (Jagakarsa),61,13,25,106,15,106,O3,TIDAK SEHAT
2019-09-13,DKI3 (Jagakarsa),63,12,23,99,10,99,O3,SEDANG
2019-09-14,DKI3 (Jagakarsa),61,13,21,113,15,113,O3,TIDAK SEHAT
2019-09-15,DKI3 (Jagakarsa),57,13,22,95,8,95,O3,SEDANG
2019-09-16,DKI3 (Jagakarsa),59,11,24,65,10,65,O3,SEDANG
2019-09-17,DKI3 (Jagakarsa),59,9,21,72,8,72,O3,SEDANG
2019-09-18,DKI3 (Jagakarsa),58,13,22,132,8,132,O3,TIDAK SEHAT
2019-09-19,DKI3 (Jagakarsa),69,13,25,88,12,88,O3,SEDANG
2019-09-20,DKI3 (Jagakarsa),60,13,14,84,7,84,O3,SEDANG
2019-09-21,DKI3 (Jagakarsa),54,13,6,106,5,106,O3,TIDAK SEHAT
2019-09-22,DKI3 (Jagakarsa),56,14,8,134,8,134,O3,TIDAK SEHAT
2019-09-23,DKI3 (Jagakarsa),64,13,10,75,7,75,O3,SEDANG
2019-09-24,DKI3 (Jagakarsa),66,15,11,76,6,76,O3,SEDANG
2019-09-25,DKI3 (Jagakarsa),68,13,15,159,8,159,O3,TIDAK SEHAT
2019-09-26,DKI3 (Jagakarsa),68,13,15,69,9,69,O3,SEDANG
2019-09-27,DKI3 (Jagakarsa),59,12,20,83,8,83,O3,SEDANG
2019-09-28,DKI3 (Jagakarsa),52,13,12,81,9,81,O3,SEDANG
2019-09-29,DKI3 (Jagakarsa),63,12,14,103,5,103,O3,TIDAK SEHAT
2019-09-30,DKI3 (Jagakarsa),52,12,18,80,7,80,O3,SEDANG
2019-09-01,DKI4 (Lubang Buaya),,,,,,0,,TIDAK ADA DATA
2019-09-02,DKI4 (Lubang Buaya),,,,,,0,,TIDAK ADA DATA
2019-09-03,DKI4 (Lubang Buaya),67,31,7,97,7,97,O3,SEDANG
2019-09-04,DKI4 (Lubang Buaya),78,30,11,110,6,110,O3,TIDAK SEHAT
2019-09-05,DKI4 (Lubang Buaya),66,30,9,107,7,107,O3,TIDAK SEHAT
2019-09-06,DKI4 (Lubang Buaya),69,30,12,93,13,93,O3,SEDANG
2019-09-07,DKI4 (Lubang Buaya),71,30,12,75,8,75,O3,SEDANG
