date,temperature
1/01/2000,30.15
8/01/2000,30.31
15/01/2000,30.99
22/01/2000,30.94
29/01/2000,29.95
5/02/2000,30.53
12/02/2000,30.00
19/02/2000,30.24
26/02/2000,29.31
4/03/2000,29.93
11/03/2000,29.10
18/03/2000,28.80
25/03/2000,29.10
1/04/2000,28.87
8/04/2000,28.46
15/04/2000,27.99
22/04/2000,27.05
29/04/2000,27.34
6/05/2000,26.66
13/05/2000,26.15
20/05/2000,25.68
27/05/2000,25.06
3/06/2000,25.17
10/06/2000,24.63
17/06/2000,23.97
24/06/2000,23.24
1/07/2000,23.68
8/07/2000,23.01
15/07/2000,22.17
22/07/2000,22.48
29/07/2000,22.13
5/08/2000,21.72
12/08/2000,21.48
19/08/2000,21.18
26/08/2000,20.68
2/09/2000,20.78
9/09/2000,21.26
16/09/2000,21.22
23/09/2000,20.48
30/09/2000,20.51
7/10/2000,20.38
14/10/2000,21.10
21/10/2000,20.76
28/10/2000,20.93
4/11/2000,20.94
11/11/2000,21.08
18/11/2000,22.04
25/11/2000,22.42
2/12/2000,22.66
9/12/2000,22.99
16/12/2000,22.97
23/12/2000,23.12
30/12/2000,23.22
6/01/2001,23.57
13/01/2001,24.58
20/01/2001,24.71
27/01/2001,24.67
3/02/2001,25.97
10/02/2001,26.18
17/02/2001,26.40
24/02/2001,26.40
3/03/2001,26.85
10/03/2001,27.98
17/03/2001,27.74
24/03/2001,28.15
31/03/2001,28.66
7/04/2001,28.67
14/04/2001,29.10
21/04/2001,29.41
28/04/2001,29.68
5/05/2001,29.93
12/05/2001,30.49
19/05/2001,30.17
26/05/2001,30.47
2/06/2001,31.35
9/06/2001,30.70
16/06/2001,30.62
23/06/2001,31.22
30/06/2001,30.66
7/07/2001,30.84
14/07/2001,31.37
21/07/2001,30.80
28/07/2001,30.20
4/08/2001,30.43
11/08/2001,29.86
18/08/2001,30.15
25/08/2001,30.14
1/09/2001,29.21
8/09/2001,29.35
15/09/2001,28.22
22/09/2001,28.68
29/09/2001,28.24
6/10/2001,27.71
13/10/2001,26.72
20/10/2001,27.12
27/10/2001,26.11
3/11/2001,25.53
10/11/2001,26.02
17/11/2001,24.87
24/11/2001,24.86
1/12/2001,24.80
8/12/2001,24.13
15/12/2001,23.55
22/12/2001,23.77
29/12/2001,22.73
5/01/2002,22.98
12/01/2002,22.34
19/01/2002,21.99
26/01/2002,21.70
2/02/2002,21.59
9/02/2002,21.65
16/02/2002,21.95
23/02/2002,21.66
2/03/2002,20.98
9/03/2002,21.80
16/03/2002,21.68
23/03/2002,21.73
30/03/2002,21.90
6/04/2002,21.69
13/04/2002,21.67
20/04/2002,21.43
27/04/2002,21.97
4/05/2002,22.24
11/05/2002,22.63
18/05/2002,22.48
25/05/2002,23.28
1/06/2002,23.73
8/06/2002,24.04
15/06/2002,23.92
22/06/2002,25.20
29/06/2002,25.08
6/07/2002,25.07
13/07/2002,26.09
20/07/2002,25.99
27/07/2002,26.84
3/08/2002,27.66
10/08/2002,28.06
17/08/2002,28.10
24/08/2002,28.54
31/08/2002,28.50
7/09/2002,29.00
14/09/2002,29.81
21/09/2002,29.39
28/09/2002,30.29
5/10/2002,30.77
12/10/2002,30.34
19/10/2002,31.35
26/10/2002,31.55
2/11/2002,31.41
9/11/2002,31.73
16/11/2002,31.89
23/11/2002,31.96
30/11/2002,31.90
7/12/2002,31.76
14/12/2002,31.93
21/12/2002,31.13
28/12/2002,31.56
4/01/2003,31.13
11/01/2003,30.68
18/01/2003,30.45
25/01/2003,30.75
1/02/2003,30.40
8/02/2003,29.68
15/02/2003,29.38
22/02/2003,29.37
1/03/2003,28.86
8/03/2003,28.95
15/03/2003,28.55
22/03/2003,27.59
29/03/2003,27.19
5/04/2003,27.54
12/04/2003,26.86
19/04/2003,26.22
26/04/2003,25.72
3/05/2003,25.58
10/05/2003,25.54
17/05/2003,24.27
24/05/2003,23.85
31/05/2003,23.95
7/06/2003,23.31
14/06/2003,23.46
21/06/2003,23.15
28/06/2003,23.15
5/07/2003,22.50
12/07/2003,22.42
19/07/2003,21.92
26/07/2003,21.73
2/08/2003,21.48
9/08/2003,22.29
16/08/2003,21.52
23/08/2003,21.68
30/08/2003,22.37
6/09/2003,21.67
13/09/2003,21.98
20/09/2003,21.76
27/09/2003,22.26
4/10/2003,22.91
11/10/2003,22.82
18/10/2003,23.32
25/10/2003,23.04
1/11/2003,23.77
8/11/2003,24.35
15/11/2003,24.47
22/11/2003,25.06
29/11/2003,25.50
6/12/2003,25.23
13/12/2003,26.06
20/12/2003,25.84
27/12/2003,26.79
3/01/2004,27.57
10/01/2004,27.79
17/01/2004,28.26
24/01/2004,28.46
31/01/2004,29.17
7/02/2004,29.07
14/02/2004,29.75
21/02/2004,29.54
28/02/2004,30.19
6/03/2004,30.80
13/03/2004,30.77
20/03/2004,31.02
27/03/2004,31.41
3/04/2004,31.06
10/04/2004,31.88
17/04/2004,32.25
24/04/2004,32.23
1/05/2004,32.41
8/05/2004,32.53
15/05/2004,31.61
22/05/2004,32.20
29/05/2004,31.83
5/06/2004,31.46
12/06/2004,31.73
19/06/2004,32.04
26/06/2004,31.90
3/07/2004,30.86
10/07/2004,30.62
17/07/2004,31.00
24/07/2004,29.88
31/07/2004,29.71
7/08/2004,29.98
14/08/2004,28.89
21/08/2004,29.13
28/08/2004,28.51
4/09/2004,28.46
11/09/2004,27.38
18/09/2004,27.23
25/09/2004,26.62
2/10/2004,26.73
9/10/2004,25.90
16/10/2004,25.36
23/10/2004,25.37
30/10/2004,25.33
6/11/2004,24.74
13/11/2004,23.81
20/11/2004,23.77
27/11/2004,23.37
4/12/2004,22.95
11/12/2004,23.46
18/12/2004,22.56
25/12/2004,22.78
1/01/2005,22.21
8/01/2005,22.66
15/01/2005,22.11
22/01/2005,22.61
29/01/2005,22.03
5/02/2005,22.66
12/02/2005,22.56
19/02/2005,22.22
26/02/2005,23.02
5/03/2005,23.13
12/03/2005,22.83
19/03/2005,23.23
26/03/2005,23.48
2/04/2005,23.62
9/04/2005,23.65
16/04/2005,24.17
23/04/2005,24.42
30/04/2005,25.01
7/05/2005,25.55
14/05/2005,25.44
21/05/2005,26.19
28/05/2005,26.87
4/06/2005,27.47
11/06/2005,27.81
18/06/2005,27.80
25/06/2005,28.44
2/07/2005,28.65
9/07/2005,29.00
16/07/2005,29.30
23/07/2005,29.49
30/07/2005,29.96
6/08/2005,30.44
13/08/2005,31.04
20/08/2005,31.59
27/08/2005,31.12
3/09/2005,31.93
10/09/2005,32.13
17/09/2005,32.21
24/09/2005,32.78
1/10/2005,32.74
8/10/2005,33.00
15/10/2005,32.62
22/10/2005,32.17
29/10/2005,32.21
5/11/2005,32.17
12/11/2005,32.06
19/11/2005,32.72
26/11/2005,32.46
3/12/2005,32.23
10/12/2005,32.11
17/12/2005,31.24
24/12/2005,31.72
31/12/2005,31.12
7/01/2006,30.54
14/01/2006,30.21
21/01/2006,29.67
28/01/2006,29.20
4/02/2006,29.34
11/02/2006,29.24
18/02/2006,28.83
25/02/2006,28.30
4/03/2006,28.13
11/03/2006,27.34
18/03/2006,27.25
25/03/2006,26.31
1/04/2006,26.23
8/04/2006,25.94
15/04/2006,24.96
22/04/2006,25.21
29/04/2006,25.00
6/05/2006,24.21
13/05/2006,23.83
20/05/2006,24.04
27/05/2006,23.34
3/06/2006,23.47
10/06/2006,23.31
17/06/2006,22.88
24/06/2006,22.77
1/07/2006,23.35
8/07/2006,22.63
15/07/2006,23.21
22/07/2006,22.79
29/07/2006,23.51
5/08/2006,22.89
12/08/2006,23.38
19/08/2006,23.01
26/08/2006,23.53
2/09/2006,24.34
9/09/2006,24.10
16/09/2006,24.21
23/09/2006,25.22
30/09/2006,25.31
7/10/2006,24.98
14/10/2006,26.25
21/10/2006,26.21
28/10/2006,26.67
4/11/2006,27.21
11/11/2006,27.14
18/11/2006,27.84
25/11/2006,28.76
2/12/2006,28.59
9/12/2006,28.84
16/12/2006,29.81
23/12/2006,30.20
30/12/2006,30.29
6/01/2007,30.45
13/01/2007,30.71
20/01/2007,31.00
27/01/2007,31.24
3/02/2007,32.14
10/02/2007,32.10
17/02/2007,32.86
24/02/2007,32.95
3/03/2007,32.84
10/03/2007,33.34
17/03/2007,33.05
24/03/2007,33.12
31/03/2007,33.36
7/04/2007,32.84
14/04/2007,32.89
21/04/2007,32.83
28/04/2007,33.38
5/05/2007,32.49
12/05/2007,32.92
19/05/2007,32.12
26/05/2007,32.41
2/06/2007,31.90
9/06/2007,31.36
16/06/2007,31.40
23/06/2007,31.10
30/06/2007,31.09
7/07/2007,30.04
14/07/2007,30.08
21/07/2007,29.25
28/07/2007,28.77
4/08/2007,28.58
11/08/2007,27.92
18/08/2007,27.53
25/08/2007,27.34
1/09/2007,27.49
8/09/2007,26.52
15/09/2007,26.07
22/09/2007,26.13
29/09/2007,25.33
6/10/2007,25.65
13/10/2007,24.95
20/10/2007,25.18
27/10/2007,24.43
3/11/2007,24.13
10/11/2007,23.99
17/11/2007,24.29
24/11/2007,23.28
1/12/2007,23.68
8/12/2007,23.51
15/12/2007,23.18
22/12/2007,23.71
29/12/2007,23.58
5/01/2008,23.45
