student_id,course,grade
34292,ENGL101,A
34293,ENGL101,A
34294,ENGL101,C
34295,ENGL101,C
34296,ENGL101,C
34297,ENGL101,C
34298,ENGL101,A
34299,ENGL101,D
34300,ENGL101,F
34301,ENGL101,F
34302,ENGL101,D
34303,ENGL101,E
34304,ENGL101,E
34305,ENGL101,B
34306,ENGL101,C
34307,ENGL101,D
34308,ENGL101,B
34309,ENGL101,E
34310,ENGL101,B
34311,ENGL101,C
34312,ENGL101,D
34313,ENGL101,E
34314,ENGL101,D
34315,ENGL101,A
34316,ENGL101,A
34292,MATH101,A
34293,MATH101,F
34294,MATH101,C
34295,MATH101,B
34296,MATH101,A
34297,MATH101,F
34298,MATH101,F
34299,MATH101,B
34300,MATH101,F
34301,MATH101,F
34302,MATH101,F
34303,MATH101,A
34304,MATH101,D
34305,MATH101,C
34306,MATH101,F
34307,MATH101,E
34308,MATH101,A
34309,MATH101,D
34310,MATH101,F
34311,MATH101,A
34312,MATH101,A
34313,MATH101,C
34314,MATH101,F
34315,MATH101,E
34316,MATH101,D
34292,PHYS101,D
34293,PHYS101,E
34294,PHYS101,D
34295,PHYS101,B
34296,PHYS101,C
34297,PHYS101,E
34298,PHYS101,E
34299,PHYS101,C
34300,PHYS101,B
34301,PHYS101,A
34302,DRAM101,F
34303,DRAM101,D
34304,DRAM101,D
34305,DRAM101,E
34306,DRAM101,E
34307,DRAM101,D
34308,DRAM101,A
34309,DRAM101,A
34310,DRAM101,D
34311,DRAM101,E
34312,DRAM101,E
34313,DRAM101,D
34314,DRAM101,D
34315,DRAM101,E
34316,DRAM101,F
34292,MATH102,F
34293,MATH102,C
34294,MATH102,F
34295,MATH102,B
34296,MATH102,E
34297,MATH102,B
34298,MATH102,C
34299,MATH102,A
34300,MATH102,E
34301,MATH102,C
34302,MATH102,B
34303,MATH102,F
34304,MATH102,F
34305,MATH102,C
34306,MATH102,E
34307,MATH102,A
34308,ARTT101,E
34309,ARTT101,F
34310,ARTT101,C
34311,ARTT101,F
34312,ARTT101,D
34313,ARTT101,F
34314,ARTT101,C
34315,ARTT101,D
34316,ARTT101,A
34292,COMP101,A
34293,COMP101,C
34294,COMP101,C
34295,DESN101,C
34296,DESN101,C
34297,DESN101,A
34298,COMP101,D
34299,COMP101,F
34300,COMP101,F
34301,COMP101,D
34302,COMP101,E
34303,COMP101,E
34304,COMP101,B
34305,COMP101,C
34306,COMP101,D
34307,COMP101,B
34308,DESN101,E
34309,DESN101,B
34310,DESN101,C
34311,DESN101,D
34312,DESN101,E
34313,DESN101,D
34314,DESN101,A
34315,DESN101,A
34316,DESN101,A
